designation (in. x lb/ft),area (in2),depth (in.),web_thickness (in.),flange_width (in.),flange_thickness (in.),Ixx (in4),Sxx (in3),rxx (in.),Iyy (in4),Syy (in3),ryy (in.)
W10 X 100,29.4,11.1,0.68,10.34,1.12,623.0,112.0,4.6,207.0,40.0,2.65
W10 X 54,15.8,10.09,0.37,10.03,0.615,303.0,60.0,4.37,103.0,20.6,2.56
W10 X 45,13.3,10.1,0.35,8.02,0.62,248.0,49.1,4.32,53.4,13.3,2.01
W10 X 39,11.5,9.92,0.315,7.985,0.53,209.0,42.1,4.27,45.0,11.3,1.98
W10 X 30,8.84,10.47,0.3,5.81,0.51,170.0,32.4,4.38,16.7,5.75,1.37
W10 X 19,5.62,10.24,0.25,4.02,0.395,96.3,18.8,4.14,4.29,2.14,0.874
W10 X 15,4.41,9.99,0.23,4.0,0.27,68.9,13.8,3.95,2.89,1.45,0.81
W10 X 12,3.54,9.87,0.19,3.96,0.21,53.8,10.9,3.9,2.18,1.1,0.785
W8 X 67,19.7,9.0,0.57,8.28,0.935,272.0,60.4,3.72,88.6,21.4,2.12
W8 X 58,17.1,8.75,0.51,8.22,0.81,228.0,52.0,3.65,75.1,18.3,2.1
W8 X 48,14.1,8.5,0.4,8.11,0.685,184.0,43.3,3.61,60.9,15.0,2.08
W8 X 40,11.7,8.25,0.36,8.07,0.56,146.0,35.5,3.53,49.1,12.2,2.04
W8 X 31,9.13,8.0,0.285,7.995,0.435,110.0,27.5,3.47,37.1,9.27,2.02
W8 X 24,7.08,7.93,0.245,6.495,0.4,82.8,20.9,3.42,18.3,5.63,1.61
W8 X 15,4.44,8.11,0.245,4.015,0.315,48.0,11.8,3.29,3.41,1.7,0.876
W6 X 25,7.34,6.38,0.32,6.08,0.455,53.4,16.7,2.7,17.1,5.61,1.52
W6 X 20,5.87,6.2,0.26,6.02,0.365,41.4,13.4,2.66,13.3,4.41,1.5
W6 X 16,4.74,6.28,0.26,4.03,0.405,32.1,10.2,2.6,4.43,2.2,0.966
W6 X 15,4.43,5.99,0.23,5.99,0.26,29.1,9.72,2.56,9.32,3.11,1.46
W6 X 12,3.55,6.03,0.23,4.0,0.28,22.1,7.31,2.49,2.99,1.5,0.918
W6 X 9,2.68,5.9,0.17,3.94,0.215,16.4,5.56,2.47,2.19,1.11,0.905
